region,years,sex,age_gr,population
netherlands,2018,Both,80 to 89,698365.5
netherlands,2018,Both,90 to 99,140323.5
netherlands,2018,Both,Overall,17231623.5
netherlands,2018,Female,0 to 9,826559
netherlands,2018,Female,10 to 19,975645.5
netherlands,2018,Female,100 and over,2475
netherlands,2018,Female,20 to 29,1076851
netherlands,2018,Female,30 to 39,1043998
netherlands,2018,Female,40 to 49,1132497
netherlands,2018,Female,50 to 59,1251030
netherlands,2018,Female,60 to 69,1055896
netherlands,2018,Female,70 to 79,799057.5
netherlands,2018,Female,80 to 89,413165.5
netherlands,2018,Female,90 to 99,100385.5
netherlands,2018,Female,Overall,8677560
netherlands,2018,Male,0 to 9,868694.5
netherlands,2018,Male,10 to 19,1023455
netherlands,2018,Male,100 and over,456.5
netherlands,2018,Male,20 to 29,1110326
netherlands,2018,Male,30 to 39,1055767.5
netherlands,2018,Male,40 to 49,1125731.5
netherlands,2018,Male,50 to 59,1260376.5
netherlands,2018,Male,60 to 69,1043756.5
netherlands,2018,Male,70 to 79,740361.5
netherlands,2018,Male,80 to 89,285200
netherlands,2018,Male,90 to 99,39938
netherlands,2018,Male,Overall,8554063.5
netherlands,2019,Both,0 to 9,1683439.5
netherlands,2019,Both,10 to 19,1991373.5
netherlands,2019,Both,100 and over,3122.5
netherlands,2019,Both,20 to 29,2215956.5
netherlands,2019,Both,30 to 39,2136511.5
netherlands,2019,Both,40 to 49,2203582
netherlands,2019,Both,50 to 59,2534730
netherlands,2019,Both,60 to 69,2123017
netherlands,2019,Both,70 to 79,1591797.5
netherlands,2019,Both,80 to 89,718248.5
netherlands,2019,Both,90 to 99,143095.5
netherlands,2019,Both,Overall,17344874
netherlands,2019,Female,0 to 9,820878
netherlands,2019,Female,10 to 19,972194
netherlands,2019,Female,100 and over,2595.5
netherlands,2019,Female,20 to 29,1090297
netherlands,2019,Female,30 to 39,1060721
netherlands,2019,Female,40 to 49,1105946
netherlands,2019,Female,50 to 59,1262638.5
netherlands,2019,Female,60 to 69,1067999
netherlands,2019,Female,70 to 79,824161
netherlands,2019,Female,80 to 89,421276
netherlands,2019,Female,90 to 99,101609.5
netherlands,2019,Female,Overall,8730315.5
netherlands,2019,Male,0 to 9,862561.5
netherlands,2019,Male,10 to 19,1019179.5
netherlands,2019,Male,100 and over,527
netherlands,2019,Male,20 to 29,1125659.5
netherlands,2019,Male,30 to 39,1075790.5
netherlands,2019,Male,40 to 49,1097636
netherlands,2019,Male,50 to 59,1272091.5
netherlands,2019,Male,60 to 69,1055018
netherlands,2019,Male,70 to 79,767636.5
netherlands,2019,Male,80 to 89,296972.5
netherlands,2019,Male,90 to 99,41486
netherlands,2019,Male,Overall,8614558.5
netherlands,2020,Both,0 to 9,1670238.5
netherlands,2020,Both,10 to 19,1976878.5
netherlands,2020,Both,100 and over,3412.5
netherlands,2020,Both,20 to 29,2233494.5
netherlands,2020,Both,30 to 39,2173690
netherlands,2020,Both,40 to 49,2162900.5
netherlands,2020,Both,50 to 59,2551941.5
netherlands,2020,Both,60 to 69,2151225
netherlands,2020,Both,70 to 79,1634705
netherlands,2020,Both,80 to 89,736407.5
netherlands,2020,Both,90 to 99,146606.5
netherlands,2020,Both,Overall,17441500
netherlands,2020,Female,0 to 9,814120
netherlands,2020,Female,10 to 19,964990.5
netherlands,2020,Female,100 and over,2840
netherlands,2020,Female,20 to 29,1098717.5
netherlands,2020,Female,30 to 39,1076741.5
netherlands,2020,Female,40 to 49,1085459
netherlands,2020,Female,50 to 59,1271692
netherlands,2020,Female,60 to 69,1082477
netherlands,2020,Female,70 to 79,845470
netherlands,2020,Female,80 to 89,428320.5
netherlands,2020,Female,90 to 99,103388.5
netherlands,2020,Female,Overall,8774216.5
netherlands,2020,Male,0 to 9,856118.5
netherlands,2020,Male,10 to 19,1011888
netherlands,2020,Male,100 and over,572.5
netherlands,2020,Male,20 to 29,1134777
netherlands,2020,Male,30 to 39,1096948.5
netherlands,2020,Male,40 to 49,1077441.5
netherlands,2020,Male,50 to 59,1280249.5
netherlands,2020,Male,60 to 69,1068748
netherlands,2020,Male,70 to 79,789235
netherlands,2020,Male,80 to 89,308087
netherlands,2020,Male,90 to 99,43218
netherlands,2020,Male,Overall,8667283.5
netherlands,2021,Both,0 to 9,1665567
netherlands,2021,Both,10 to 19,1965038
netherlands,2021,Both,100 and over,3484
netherlands,2021,Both,20 to 29,2247779
netherlands,2021,Both,30 to 39,2211241.5
netherlands,2021,Both,40 to 49,2129321.5
netherlands,2021,Both,50 to 59,2551752
netherlands,2021,Both,60 to 69,2186358
netherlands,2021,Both,70 to 79,1675611
netherlands,2021,Both,80 to 89,748733
netherlands,2021,Both,90 to 99,148158.5
netherlands,2021,Both,Overall,17533043.5
netherlands,2021,Female,0 to 9,812006.5
netherlands,2021,Female,10 to 19,959075.5
netherlands,2021,Female,100 and over,2883.5
netherlands,2021,Female,20 to 29,1105283
netherlands,2021,Female,30 to 39,1093044
netherlands,2021,Female,40 to 49,1068622
netherlands,2021,Female,50 to 59,1272289
netherlands,2021,Female,60 to 69,1100905
netherlands,2021,Female,70 to 79,866295.5
netherlands,2021,Female,80 to 89,432664
netherlands,2021,Female,90 to 99,103973.5
netherlands,2021,Female,Overall,8817041.5
netherlands,2021,Male,0 to 9,853560.5
netherlands,2021,Male,10 to 19,1005962.5
netherlands,2021,Male,100 and over,600.5
netherlands,2021,Male,20 to 29,1142496
netherlands,2021,Male,30 to 39,1118197.5
netherlands,2021,Male,40 to 49,1060699.5
netherlands,2021,Male,50 to 59,1279463
netherlands,2021,Male,60 to 69,1085453
netherlands,2021,Male,70 to 79,809315.5
netherlands,2021,Male,80 to 89,316069
netherlands,2021,Male,90 to 99,44185
netherlands,2021,Male,Overall,8716002
netherlands,2022,Both,0 to 9,1671665
netherlands,2022,Both,10 to 19,1961016.5
netherlands,2022,Both,100 and over,3539.5
netherlands,2022,Both,20 to 29,2290074.5
netherlands,2022,Both,30 to 39,2267013.5
netherlands,2022,Both,40 to 49,2113021.5
netherlands,2022,Both,50 to 59,2541122
netherlands,2022,Both,60 to 69,2219697
netherlands,2022,Both,70 to 79,1717591.5
netherlands,2022,Both,80 to 89,765922.5
netherlands,2022,Both,90 to 99,150318
netherlands,2022,Both,Overall,17700981.5
netherlands,2022,Female,0 to 9,815203
netherlands,2022,Female,10 to 19,956954.5
netherlands,2022,Female,100 and over,2950.5
netherlands,2022,Female,20 to 29,1127825.5
netherlands,2022,Female,30 to 39,1119820.5
netherlands,2022,Female,40 to 49,1060221.5
netherlands,2022,Female,50 to 59,1269485.5
netherlands,2022,Female,60 to 69,1118317.5
netherlands,2022,Female,70 to 79,888115.5
netherlands,2022,Female,80 to 89,439535.5
netherlands,2022,Female,90 to 99,104663.5
netherlands,2022,Female,Overall,8903093
netherlands,2022,Male,0 to 9,856462
netherlands,2022,Male,10 to 19,1004062
netherlands,2022,Male,100 and over,589
netherlands,2022,Male,20 to 29,1162249
netherlands,2022,Male,30 to 39,1147193
netherlands,2022,Male,40 to 49,1052800
netherlands,2022,Male,50 to 59,1271636.5
netherlands,2022,Male,60 to 69,1101379.5
netherlands,2022,Male,70 to 79,829476
netherlands,2022,Male,80 to 89,326387
netherlands,2022,Male,90 to 99,45654.5
netherlands,2022,Male,Overall,8797888.5
netherlands,2023,Both,0 to 9,1674321
netherlands,2023,Both,10 to 19,1954316
netherlands,2023,Both,100 and over,3456
netherlands,2023,Both,20 to 29,2334034
netherlands,2023,Both,30 to 39,2327562.5
netherlands,2023,Both,40 to 49,2118876
netherlands,2023,Both,50 to 59,2510885.5
netherlands,2023,Both,60 to 69,2259464.5
netherlands,2023,Both,70 to 79,1749510
netherlands,2023,Both,80 to 89,793118.5
netherlands,2023,Both,90 to 99,151572.5
netherlands,2023,Both,Overall,17877116.5
netherlands,2023,Female,0 to 9,816961
netherlands,2023,Female,10 to 19,952212.5
netherlands,2023,Female,100 and over,2850.5
netherlands,2023,Female,20 to 29,1150539.5
netherlands,2023,Female,30 to 39,1148799
netherlands,2023,Female,40 to 49,1063430
netherlands,2023,Female,50 to 59,1257342.5
netherlands,2023,Female,60 to 69,1138452.5
netherlands,2023,Female,70 to 79,904815
netherlands,2023,Female,80 to 89,451445.5
netherlands,2023,Female,90 to 99,104730
netherlands,2023,Female,Overall,8991578
netherlands,2023,Male,0 to 9,857360
netherlands,2023,Male,10 to 19,1002103.5
netherlands,2023,Male,100 and over,605.5
netherlands,2023,Male,20 to 29,1183494.5
netherlands,2023,Male,30 to 39,1178763.5
netherlands,2023,Male,40 to 49,1055446
netherlands,2023,Male,50 to 59,1253543
netherlands,2023,Male,60 to 69,1121012
netherlands,2023,Male,70 to 79,844695
netherlands,2023,Male,80 to 89,341673
netherlands,2023,Male,90 to 99,46842.5
netherlands,2023,Male,Overall,8885538.5
netherlands,2024,Both,0 to 9,1664545.5
netherlands,2024,Both,10 to 19,1950744.5
netherlands,2024,Both,100 and over,3499.5
netherlands,2024,Both,20 to 29,2353460
netherlands,2024,Both,30 to 39,2369561.5
netherlands,2024,Both,40 to 49,2132025.5
netherlands,2024,Both,50 to 59,2467341.5
netherlands,2024,Both,60 to 69,2298324
netherlands,2024,Both,70 to 79,1776504
netherlands,2024,Both,80 to 89,823297.5
netherlands,2024,Both,90 to 99,154181
netherlands,2024,Both,Overall,17993484.5
netherlands,2024,Female,0 to 9,811980.5
netherlands,2024,Female,10 to 19,948646.5
netherlands,2024,Female,100 and over,2854
netherlands,2024,Female,20 to 29,1159747.5
netherlands,2024,Female,30 to 39,1168012.5
netherlands,2024,Female,40 to 49,1068171
netherlands,2024,Female,50 to 59,1237696
netherlands,2024,Female,60 to 69,1157599.5
netherlands,2024,Female,70 to 79,918387.5
netherlands,2024,Female,80 to 89,465400.5
netherlands,2024,Female,90 to 99,105379.5
netherlands,2024,Female,Overall,9043875
netherlands,2024,Male,0 to 9,852565
netherlands,2024,Male,10 to 19,1002098
netherlands,2024,Male,100 and over,645.5
netherlands,2024,Male,20 to 29,1193712.5
netherlands,2024,Male,30 to 39,1201549
netherlands,2024,Male,40 to 49,1063854.5
netherlands,2024,Male,50 to 59,1229645.5
netherlands,2024,Male,60 to 69,1140724.5
netherlands,2024,Male,70 to 79,858116.5
netherlands,2024,Male,80 to 89,357897
netherlands,2024,Male,90 to 99,48801.5
netherlands,2024,Male,Overall,8949609.5
